name,genre,length,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,mel_mean,mel_var,contrast_mean,contrast_var,tonnetz_mean,tonnetz_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var
blues_00000,blues,30,123.046875,-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.6658018,2570.8127,295.72443,235.57982,150.83536,168.02463,89.169586,67.60479,69.06307,82.152504,63.400475,61.810535,51.292,41.25163,0.34995052,0.08875216,1784.416546,129739.8373,2002.657106,85829.34595,3806.41865,901329.6603,0.083066391,0.000766734,0.130192,0.002830372,4.424965,740.26184,20.52688087,76.81416895,0.006442007,0.004312294,-4.53E-05,0.008171827,6.84E-06,0.005704281
blues_00001,blues,30,107.6660156,-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555369,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.237833,7770.7725,560.163,572.7001,264.85532,280.04752,156.47044,200.96965,142.37248,166.23215,104.358574,105.223694,96.29922,64.90086,0.3409451,0.09496806,1529.871314,376011.6504,2038.612143,213889.8741,3548.986873,2976792.42,0.056044257,0.001448503,0.095891684,0.002374032,2.6529155,300.18872,20.67226372,67.90168704,0.029388717,0.004754492,0.000142159,0.005096857,-0.000180556,0.003066641
blues_00002,blues,30,161.4990234,-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.7857633,-8.899733,3319.7937,509.11203,411.987,144.14766,156.0156,74.46932,106.68324,106.62771,65.68542,67.84548,57.646435,64.60154,60.47645,0.3635618,0.085277244,1552.637786,156538.2946,1747.382028,76150.68872,3041.089944,782946.5225,0.076300748,0.001007289,0.17549369,0.002752595,7.253929,871.65265,22.19179405,76.16929999,0.024244858,0.010474179,1.26E-06,0.016350074,-1.57E-05,0.007462036
blues_00003,blues,30,172.265625,-199.462,150.09474,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.085354,-2.4761884,5495.972,456.56665,257.0472,158.19778,267.90213,126.88234,156.06218,81.17086,92.361916,71.22306,110.32543,48.18353,56.813396,0.40484834,0.09401797,1070.110059,184506.6555,1596.244204,166637.5684,2185.061787,1494194.063,0.033308944,0.000423074,0.14113921,0.006339857,6.2123165,4714.174,21.42838582,63.39655131,0.026658229,0.017950298,3.80E-06,0.01906335,-1.79E-05,0.002712791
blues_00004,blues,30,135.9991776,-160.29185,126.19576,-35.6025,22.151169,22.151169,10.862022,-23.357162,0.50052327,-11.80477,1.2038776,-13.085074,-2.8098488,-6.935621,5198.1445,853.7379,333.71176,193.67331,336.45108,134.79675,93.30083,124.761475,129.98872,99.795204,80.303085,86.49203,89.61349,0.30859816,0.08785043,1835.507008,343334.237,1748.367477,88460.06122,3581.003346,1572132.822,0.101500142,0.001953509,0.0915404,0.002305055,2.107615,165.65169,21.46301663,63.05488572,-0.020909592,0.010098414,-1.79E-05,0.004817581,-9.76E-06,0.003094669
blues_00005,blues,30,112.3471467,-177.88876,118.18953,-17.550726,30.753096,-21.732103,11.898541,-20.732279,3.1761668,-8.575768,-0.9401859,-11.773797,-2.426077,-9.342486,7303.5063,3197.6094,654.14777,485.98718,433.48108,266.09055,169.8476,133.68483,172.3315,100.12965,76.596054,78.50408,80.13264,0.30241403,0.087562,1831.990069,1031295.603,1729.456259,201999.8082,3480.853952,3276452.446,0.09403987,0.00623717,0.10343772,0.003983734,2.914896,810.08405,22.54468767,66.88540184,0.005154507,0.018920003,1.29E-07,0.008084852,-2.68E-05,0.003244937
blues_00006,blues,30,123.046875,-190.17505,130.29242,-36.348473,33.02909,11.085681,-0.59637237,-20.882357,0.27711615,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595715,9646.426,1934.4313,1307.6438,480.32092,1083.5884,280.22363,151.6883,102.89618,131.14717,153.48946,87.57829,64.22462,79.16398,0.29140562,0.094002716,1459.035376,438118.0321,1388.725515,185132.0132,2795.674762,1622690.851,0.073027903,0.001909595,0.1416879,0.008782834,5.880135,2462.9834,23.42585287,49.56561272,-0.002806394,0.02342943,-1.30E-05,0.016921,-2.04E-05,0.005961976
blues_00007,blues,30,92.28515625,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956977,-3.5483482,6575.454,1479.9727,590.9773,353.15915,650.4475,136.36313,163.70146,151.47868,172.0249,178.41544,147.66684,83.777534,93.331375,0.3073145,0.092849135,1451.849458,449937.6624,1577.551858,168258.2561,2955.76546,1630564.83,0.061435003,0.00185001,0.13174523,0.005535203,4.8276787,1415.2368,22.44033374,52.44865756,-0.011072254,0.011762679,2.10E-05,0.013218544,-4.86E-05,0.004855601
blues_00008,blues,30,83.35433468,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739909,2621.6409,414.7292,341.3917,193.81631,176.7232,106.99097,57.671753,76.91382,42.480625,58.431217,48.96014,56.24636,61.89646,0.40899816,0.086519666,1719.273937,163389.6533,2031.687344,105613.2043,3781.5188,1262995.525,0.06402758,0.000731889,0.14236063,0.001502899,4.9456677,858.144,22.37343204,89.32691868,0.023770638,0.005576115,5.91E-07,0.012712171,-1.76E-05,0.003463815
blues_00009,blues,30,129.1992188,-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101023,4.283337,-6.0441957,3.786368,0.22368738,6133.131,798.75323,668.95465,350.82483,532.3013,278.38568,126.54535,67.952324,110.166046,92.49028,84.86532,104.494316,76.40331,0.27401426,0.09232655,1817.529546,298256.5307,1973.690309,114209.0938,3944.584481,1367139.1,0.079215318,0.001376558,0.08132098,0.004347414,2.3889394,604.26636,21.15817625,63.32912549,0.018664193,0.016179473,-2.19E-06,0.00722386,-2.26E-05,0.001677896
